,gender,has_permission,unscheduled,can_call,can_have_alt_number,has_cv_print,venue,call_letter_shared,expected_attendance,observed_attendance,Year,Month,Week,Day,Dayofweek,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Elapsed,skillset_accounting_operations,skillset_als_testing,skillset_aml,skillset_analyst,skillset_analytical_r&d,skillset_automation,skillset_banking_operations,skillset_basesas_program,skillset_biosimilars,skillset_cdd,skillset_cots,skillset_desktop_support,skillset_developer,skillset_dot_net,skillset_emea,skillset_etl,skillset_fresher,skillset_generic_drugs,skillset_global_labelling,skillset_hadoop,skillset_hibernate,skillset_informatica,skillset_j2ee,skillset_java,skillset_jsf,skillset_kyc,skillset_lcm_manager,skillset_lending_and_liabilities,skillset_licensing,skillset_manager,skillset_mednet,skillset_ms_exchange,skillset_network,skillset_networking,skillset_oracle,skillset_plsql,skillset_product_control,skillset_production,skillset_production_support,skillset_publishing,skillset_ra_label,skillset_regulatory,skillset_reporting,skillset_routine,skillset_sapbo,skillset_sas,skillset_sccm,skillset_senior,skillset_sharepoint,skillset_spring,skillset_sql,skillset_struts,skillset_submission_management,skillset_t-24,skillset_tech_lead,skillset_testing,skillset_xml,loc_bangalore,loc_chennai,loc_cochin,loc_delhi,loc_gurgaon,loc_hyderabad,loc_noida,pos_aml,pos_dot net,pos_niche,pos_production- sterile,pos_routine,pos_selenium testing,pos_trade finance,client_anz,client_aon hewitt,client_astrazeneca,client_barclays,client_flextronics,client_hospira,client_pfizer,client_prodapt,client_standard chartered bank,client_ust,client_williams lea,client_woori bank,industry_bfsi,industry_electronics,industry_it,industry_pharmaceuticals,industry_telecom,interview_type_scheduled,interview_type_scheduled walkin,interview_type_walkin,current_loc_bangalore,current_loc_chennai,current_loc_cochin,current_loc_delhi,current_loc_gurgaon,current_loc_hyderabad,current_loc_noida,job_loc_bangalore,job_loc_chennai,job_loc_cochin,job_loc_gurgaon,job_loc_hosur,job_loc_noida,job_loc_visakapatinam,venue_loc_bangalore,venue_loc_chennai,venue_loc_cochin,venue_loc_gurgaon,venue_loc_hosur,venue_loc_hyderabad,venue_loc_noida,native_loc_agra,native_loc_ahmedabad,native_loc_allahabad,native_loc_ambur,native_loc_anantapur,native_loc_baddi,native_loc_bangalore,native_loc_belgaum,native_loc_bhubaneshwar,native_loc_chandigarh,native_loc_chennai,native_loc_chitoor,native_loc_cochin,native_loc_coimbatore,native_loc_cuttack,native_loc_delhi,native_loc_faizabad,native_loc_ghaziabad,native_loc_gurgaon,native_loc_hissar,native_loc_hosur,native_loc_hyderabad,native_loc_kanpur,native_loc_kolkata,native_loc_kurnool,native_loc_lucknow,native_loc_mumbai,native_loc_mysore,native_loc_nagercoil,native_loc_noida,native_loc_panjim,native_loc_patna,native_loc_pondicherry,native_loc_pune,native_loc_salem,native_loc_tanjore,native_loc_tirupati,native_loc_trichy,native_loc_trivandrum,native_loc_tuticorin,native_loc_vellore,native_loc_vijayawada,native_loc_visakapatinam,native_loc_warangal,marital_status_married,marital_status_single
0,1,1,1,1,1,1,1,1,1,-1,2015,2,7,13,4,44,False,False,False,False,False,False,1423785600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,-1,2015,2,7,13,4,44,False,False,False,False,False,False,1423785600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,-1,2015,2,7,13,4,44,False,False,False,False,False,False,1423785600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,1,1,-1,1,-1,1,1,0,-1,2015,2,7,13,4,44,False,False,False,False,False,False,1423785600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,1,1,1,-1,1,1,1,0,-1,2015,2,7,13,4,44,False,False,False,False,False,False,1423785600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1,1,1,1,1,1,1,1,1,1,2015,2,7,13,4,44,False,False,False,False,False,False,1423785600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,1,1,1,1,1,1,1,1,1,2015,2,7,13,4,44,False,False,False,False,False,False,1423785600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,-1,1,1,1,1,1,1,1,1,1,2015,2,7,13,4,44,False,False,False,False,False,False,1423785600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,1,1,1,1,1,1,1,1,1,2015,2,7,13,4,44,False,False,False,False,False,False,1423785600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,-1,1,1,1,1,1,1,1,1,-1,2015,2,7,13,4,44,False,False,False,False,False,False,1423785600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
